Commodity,Date,Minimum,Maximum,Average
Sword Bean,07/24/2023,120.00,140.00,130.00
Tamarind,07/24/2023,130.00,140.00,135.00
Tofu,07/24/2023,110.00,120.00,115.00
Tomato Big(Nepali),07/24/2023,90.00,100.00,96.67
Tomato Small(Local),07/24/2023,40.00,45.00,43.00
Tomato Small(Tunnel),07/24/2023,58.00,72.00,65.00
Turnip A,07/24/2023,70.00,80.00,75.00
Water Melon(Green),07/24/2023,80.00,90.00,85.00
Apple(Fuji),07/25/2023,350.00,400.00,383.33
Asparagus,07/25/2023,250.00,300.00,275.00
Avocado,07/25/2023,500.00,600.00,550.00
Bamboo Shoot,07/25/2023,110.00,120.00,116.67
Banana,07/25/2023,150.00,160.00,156.67
Bitter Gourd,07/25/2023,50.00,60.00,55.00
Bottle Gourd,07/25/2023,50.00,60.00,55.00
Brd Leaf Mustard,07/25/2023,70.00,80.00,75.00
Brinjal Long,07/25/2023,30.00,40.00,35.00
Brinjal Round,07/25/2023,50.00,60.00,56.67
Brocauli,07/25/2023,80.00,90.00,85.00
Cabbage(Local),07/25/2023,12.00,16.00,14.25
Capsicum,07/25/2023,80.00,90.00,85.00
Carrot(Local),07/25/2023,110.00,120.00,116.67
Cauli Local,07/25/2023,60.00,70.00,65.00
Cauli Local(Jyapu),07/25/2023,80.00,90.00,86.00
Celery,07/25/2023,120.00,150.00,140.00
Chilli Dry,07/25/2023,450.00,480.00,470.00
Chilli Green,07/25/2023,130.00,140.00,135.00
Chilli Green(Akbare),07/25/2023,250.00,300.00,275.00
Chilli Green(Bullet),07/25/2023,150.00,160.00,155.00
Chilli Green(Machhe),07/25/2023,60.00,70.00,65.00
Coriander Green,07/25/2023,80.00,100.00,92.50
Cow pea(Long),07/25/2023,40.00,50.00,45.00
Cowpea(Short),07/25/2023,50.00,60.00,55.00
Cucumber(Hybrid),07/25/2023,20.00,25.00,22.50
Cucumber(Local),07/25/2023,50.00,60.00,55.00
Fish Fresh(Bachuwa),07/25/2023,240.00,250.00,245.00
Fish Fresh(Chhadi),07/25/2023,240.00,250.00,245.00
Fish Fresh(Mungari),07/25/2023,320.00,330.00,326.67
Fish Fresh(Rahu),07/25/2023,310.00,320.00,316.67
French Bean(Hybrid),07/25/2023,40.00,50.00,45.00
French Bean(Local),07/25/2023,30.00,40.00,36.00
French Bean(Rajma),07/25/2023,70.00,80.00,76.67
Garlic Dry Chinese,07/25/2023,270.00,280.00,276.00
Garlic Dry Nepali,07/25/2023,210.00,220.00,215.00
Garlic Green,07/25/2023,70.00,80.00,76.67
Ginger,07/25/2023,270.00,280.00,276.67
Grapes(Black),07/25/2023,550.00,600.00,575.00
Jack Fruit,07/25/2023,40.00,50.00,45.00
Kiwi,07/25/2023,800.00,900.00,850.00
Lettuce,07/25/2023,120.00,150.00,135.00
Lime,07/25/2023,150.00,160.00,156.67
Mandarin,07/25/2023,250.00,260.00,256.67
Mango(Chousa),07/25/2023,140.00,150.00,146.67
Mango(Dushari),07/25/2023,120.00,130.00,126.67
Mango(Maldah),07/25/2023,150.00,160.00,156.67
Mint,07/25/2023,250.00,300.00,275.00
Mushroom(Button),07/25/2023,300.00,350.00,325.00
Mushroom(Kanya),07/25/2023,150.00,180.00,160.00
Mustard Leaf,07/25/2023,50.00,60.00,56.67
Neuro,07/25/2023,50.00,80.00,66.67
Okara,07/25/2023,35.00,45.00,40.00
Onion Dry (Indian),07/25/2023,48.00,50.00,49.20
Onion Green,07/25/2023,80.00,90.00,86.67
Papaya(Nepali),07/25/2023,90.00,100.00,96.67
Parseley,07/25/2023,300.00,400.00,350.00
Pear(Chinese),07/25/2023,320.00,350.00,335.00
Pear(Local),07/25/2023,60.00,70.00,65.00
Pineapple,07/25/2023,150.00,180.00,170.00
Pointed Gourd(Local),07/25/2023,30.00,40.00,36.00
Pomegranate,07/25/2023,350.00,400.00,383.33
Potato Red,07/25/2023,48.00,50.00,49.20
Potato Red(Indian),07/25/2023,35.00,36.00,35.50
Potato Red(Mude),07/25/2023,40.00,42.00,41.00
Potato White,07/25/2023,35.00,36.00,35.67
Pumpkin,07/25/2023,40.00,45.00,42.50
Raddish Red,07/25/2023,30.00,40.00,35.00
Raddish White(Hybrid),07/25/2023,20.00,25.00,22.50
Raddish White(Local),07/25/2023,12.00,16.00,14.50
Red Cabbbage,07/25/2023,70.00,80.00,76.67
Smooth Gourd,07/25/2023,30.00,40.00,35.00
Snake Gourd,07/25/2023,30.00,40.00,35.00
Soyabean Green,07/25/2023,70.00,80.00,76.00
Sponge Gourd,07/25/2023,50.00,60.00,56.67
Squash(Round),07/25/2023,50.00,60.00,55.00
Sugarbeet,07/25/2023,70.00,80.00,76.67
Sweet Orange,07/25/2023,240.00,250.00,246.67
Sword Bean,07/25/2023,80.00,90.00,86.67
Tamarind,07/25/2023,140.00,150.00,146.67
Tofu,07/25/2023,110.00,120.00,116.67
Tomato Big(Nepali),07/25/2023,100.00,120.00,110.00
Tomato Small(Local),07/25/2023,35.00,45.00,39.00
Tomato Small(Tunnel),07/25/2023,58.00,68.00,63.20
Turnip A,07/25/2023,70.00,80.00,76.67
Water Melon(Green),07/25/2023,80.00,90.00,85.00
Apple(Fuji),07/26/2023,350.00,400.00,375.00
Arum,07/26/2023,70.00,80.00,75.00
Asparagus,07/26/2023,250.00,300.00,283.33
Avocado,07/26/2023,500.00,600.00,550.00
Bamboo Shoot,07/26/2023,110.00,120.00,116.67
Banana,07/26/2023,140.00,150.00,146.67
Bitter Gourd,07/26/2023,50.00,60.00,55.00
Bottle Gourd,07/26/2023,40.00,50.00,45.00
Brd Leaf Mustard,07/26/2023,70.00,80.00,75.00
Brinjal Long,07/26/2023,30.00,40.00,36.00
Brinjal Round,07/26/2023,70.00,80.00,75.00
Brocauli,07/26/2023,90.00,100.00,96.67
Capsicum,07/26/2023,110.00,120.00,116.00
Carrot(Local),07/26/2023,110.00,120.00,116.00
Cauli Local,07/26/2023,80.00,100.00,88.00
Cauli Local(Jyapu),07/26/2023,100.00,120.00,110.00
Celery,07/26/2023,120.00,150.00,140.00
Chilli Dry,07/26/2023,450.00,480.00,470.00
Chilli Green,07/26/2023,140.00,150.00,145.00
Chilli Green(Akbare),07/26/2023,300.00,400.00,350.00
Chilli Green(Bullet),07/26/2023,150.00,160.00,156.67
Chilli Green(Machhe),07/26/2023,60.00,70.00,65.00
Clive Dry,07/26/2023,180.00,200.00,190.00
Coriander Green,07/26/2023,150.00,200.00,175.00
Cow pea(Long),07/26/2023,40.00,50.00,43.00
Cowpea(Short),07/26/2023,40.00,50.00,46.67
Cucumber(Hybrid),07/26/2023,20.00,25.00,22.50
Cucumber(Local),07/26/2023,50.00,60.00,55.00
Fish Fresh(Bachuwa),07/26/2023,240.00,250.00,246.67
Fish Fresh(Chhadi),07/26/2023,240.00,250.00,246.67
Fish Fresh(Mungari),07/26/2023,300.00,310.00,306.67
Fish Fresh(Rahu),07/26/2023,310.00,320.00,315.00
French Bean(Hybrid),07/26/2023,40.00,50.00,45.00
French Bean(Local),07/26/2023,30.00,40.00,35.00
French Bean(Rajma),07/26/2023,90.00,100.00,96.67
Garlic Dry Chinese,07/26/2023,260.00,280.00,270.00
Garlic Dry Nepali,07/26/2023,210.00,220.00,216.67
Garlic Green,07/26/2023,70.00,80.00,76.67
Ginger,07/26/2023,250.00,270.00,260.00
Grapes(Black),07/26/2023,550.00,580.00,565.00
Jack Fruit,07/26/2023,40.00,50.00,45.00
Kiwi,07/26/2023,800.00,900.00,850.00
Lettuce,07/26/2023,140.00,150.00,146.67
Lime,07/26/2023,130.00,150.00,140.00
Mandarin,07/26/2023,250.00,260.00,255.00
Mango(Chousa),07/26/2023,140.00,150.00,146.67
Mango(Maldah),07/26/2023,120.00,130.00,126.67
Mint,07/26/2023,200.00,250.00,225.00
Mushroom(Button),07/26/2023,280.00,330.00,306.00
Mushroom(Kanya),07/26/2023,150.00,180.00,164.00
Mustard Leaf,07/26/2023,50.00,60.00,56.67
Neuro,07/26/2023,70.00,80.00,75.00
Okara,07/26/2023,35.00,40.00,38.00
Onion Green,07/26/2023,70.00,80.00,76.67
Papaya(Indian),07/26/2023,90.00,100.00,95.00
Parseley,07/26/2023,300.00,400.00,350.00
Pear(Local),07/26/2023,70.00,80.00,76.67
Pineapple,07/26/2023,150.00,180.00,165.00
Pointed Gourd(Local),07/26/2023,40.00,45.00,42.50
Pomegranate,07/26/2023,350.00,400.00,383.33
Potato Red,07/26/2023,48.00,50.00,49.00
Potato Red(Indian),07/26/2023,35.00,36.00,35.50
Potato Red(Mude),07/26/2023,38.00,40.00,39.00
Potato White,07/26/2023,34.00,35.00,34.50
Pumpkin,07/26/2023,50.00,60.00,56.67
Raddish Red,07/26/2023,25.00,30.00,26.67
Raddish White(Hybrid),07/26/2023,15.00,20.00,17.50
Raddish White(Local),07/26/2023,10.00,15.00,12.40
Red Cabbbage,07/26/2023,60.00,70.00,66.67
Smooth Gourd,07/26/2023,35.00,45.00,39.00
Snake Gourd,07/26/2023,30.00,40.00,35.00
Soyabean Green,07/26/2023,80.00,90.00,85.00
Sponge Gourd,07/26/2023,50.00,60.00,55.00
Squash(Round),07/26/2023,50.00,60.00,56.67
Sugarbeet,07/26/2023,70.00,80.00,76.67
Sweet Orange,07/26/2023,220.00,250.00,235.00
Sword Bean,07/26/2023,90.00,100.00,95.00
Tamarind,07/26/2023,140.00,150.00,146.67
Tofu,07/26/2023,110.00,120.00,116.67
Tomato Big(Nepali),07/26/2023,90.00,110.00,100.00
Tomato Small(Local),07/26/2023,35.00,40.00,37.50
Tomato Small(Tunnel),07/26/2023,58.00,68.00,63.40
Turnip A,07/26/2023,70.00,80.00,75.00
Water Melon(Green),07/26/2023,80.00,90.00,86.67
Apple(Fuji),07/27/2023,350.00,400.00,376.67
Arum,07/27/2023,60.00,70.00,65.00
Asparagus,07/27/2023,250.00,300.00,283.33
Avocado,07/27/2023,500.00,550.00,525.00
Bamboo Shoot,07/27/2023,110.00,120.00,116.00
Banana,07/27/2023,140.00,150.00,146.67
Bitter Gourd,07/27/2023,50.00,60.00,55.00
Bottle Gourd,07/27/2023,50.00,60.00,55.00
Brd Leaf Mustard,07/27/2023,80.00,90.00,86.67
Brinjal Long,07/27/2023,30.00,40.00,35.00
Brinjal Round,07/27/2023,70.00,80.00,76.67
Brocauli,07/27/2023,70.00,80.00,76.67
Cabbage(Local),07/27/2023,8.00,12.00,10.00
Capsicum,07/27/2023,80.00,90.00,86.00
Carrot(Local),07/27/2023,90.00,100.00,95.00
Cauli Local,07/27/2023,70.00,80.00,75.00
Cauli Local(Jyapu),07/27/2023,80.00,90.00,86.67
Celery,07/27/2023,120.00,150.00,135.00
Chilli Dry,07/27/2023,450.00,480.00,465.00
Chilli Green,07/27/2023,120.00,130.00,126.00
Chilli Green(Akbare),07/27/2023,300.00,350.00,325.00
Chilli Green(Bullet),07/27/2023,130.00,140.00,136.67
Chilli Green(Machhe),07/27/2023,50.00,60.00,56.67
Christophine,07/27/2023,70.00,80.00,73.33
Clive Dry,07/27/2023,180.00,200.00,190.00
Coriander Green,07/27/2023,70.00,90.00,80.00
Cow pea(Long),07/27/2023,40.00,50.00,45.00
Cowpea(Short),07/27/2023,40.00,50.00,46.67
Cucumber(Hybrid),07/27/2023,15.00,20.00,17.50
Cucumber(Local),07/27/2023,50.00,60.00,54.00
Fish Fresh(Bachuwa),07/27/2023,240.00,250.00,246.67
Fish Fresh(Chhadi),07/27/2023,240.00,250.00,246.67
Fish Fresh(Mungari),07/27/2023,300.00,310.00,306.67
Fish Fresh(Rahu),07/27/2023,310.00,320.00,316.67
French Bean(Hybrid),07/27/2023,40.00,50.00,45.00
French Bean(Local),07/27/2023,30.00,40.00,35.00
French Bean(Rajma),07/27/2023,90.00,100.00,96.67
Garlic Dry Chinese,07/27/2023,260.00,280.00,270.00
Garlic Dry Nepali,07/27/2023,200.00,220.00,210.00
Garlic Green,07/27/2023,90.00,100.00,96.67
Ginger,07/27/2023,250.00,260.00,256.67
Grapes(Black),07/27/2023,500.00,550.00,525.00
Jack Fruit,07/27/2023,40.00,45.00,43.33
Kiwi,07/27/2023,800.00,900.00,850.00
Lettuce,07/27/2023,150.00,200.00,175.00
Lime,07/27/2023,140.00,160.00,150.00
Mandarin,07/27/2023,250.00,260.00,255.00
Mango(Chousa),07/27/2023,160.00,180.00,170.00
Mango(Dushari),07/27/2023,120.00,130.00,126.67
Mango(Maldah),07/27/2023,120.00,130.00,125.00
Mint,07/27/2023,150.00,180.00,165.00
Mushroom(Button),07/27/2023,260.00,300.00,284.00
Mushroom(Kanya),07/27/2023,150.00,180.00,164.00
Mustard Leaf,07/27/2023,50.00,60.00,55.00
Neuro,07/27/2023,70.00,80.00,76.67
Okara,07/27/2023,40.00,50.00,45.00
Onion Dry (Indian),07/27/2023,46.00,50.00,48.00
Onion Green,07/27/2023,70.00,80.00,73.33
Papaya(Indian),07/27/2023,90.00,100.00,96.67
Parseley,07/27/2023,300.00,400.00,350.00
Pear(Local),07/27/2023,70.00,80.00,76.67
Pineapple,07/27/2023,150.00,160.00,155.00
Pointed Gourd(Local),07/27/2023,35.00,40.00,37.50
Pomegranate,07/27/2023,300.00,350.00,325.00
Potato Red,07/27/2023,48.00,50.00,49.20
Potato Red(Indian),07/27/2023,35.00,36.00,35.50
Potato Red(Mude),07/27/2023,38.00,40.00,39.00
Potato White,07/27/2023,34.00,35.00,34.50
Pumpkin,07/27/2023,40.00,45.00,42.50
Raddish Red,07/27/2023,25.00,30.00,28.33
Raddish White(Hybrid),07/27/2023,20.00,25.00,22.50
Raddish White(Local),07/27/2023,15.00,20.00,17.50
Red Cabbbage,07/27/2023,60.00,70.00,66.67
Smooth Gourd,07/27/2023,30.00,40.00,34.00
Snake Gourd,07/27/2023,30.00,40.00,35.00
Soyabean Green,07/27/2023,80.00,90.00,86.00
Sponge Gourd,07/27/2023,50.00,60.00,55.00
Squash(Round),07/27/2023,60.00,70.00,65.00
Sugarbeet,07/27/2023,70.00,80.00,76.67
Sweet Orange,07/27/2023,220.00,250.00,235.00
Sword Bean,07/27/2023,80.00,90.00,86.67
Tamarind,07/27/2023,140.00,150.00,146.67
Tofu,07/27/2023,110.00,120.00,116.67
Tomato Big(Nepali),07/27/2023,90.00,100.00,93.33
Tomato Small(Local),07/27/2023,35.00,40.00,37.50
Tomato Small(Tunnel),07/27/2023,56.00,66.00,62.00
Turnip A,07/27/2023,70.00,80.00,76.67
Water Melon(Green),07/27/2023,80.00,90.00,86.67
Apple(Fuji),07/28/2023,350.00,400.00,375.00
Arum,07/28/2023,70.00,80.00,75.00
Asparagus,07/28/2023,250.00,300.00,275.00
Avocado,07/28/2023,500.00,550.00,525.00
Bamboo Shoot,07/28/2023,110.00,120.00,116.00
Banana,07/28/2023,140.00,150.00,146.67
Bitter Gourd,07/28/2023,50.00,60.00,55.00
Bottle Gourd,07/28/2023,50.00,60.00,55.00
Brd Leaf Mustard,07/28/2023,80.00,90.00,86.00
Brinjal Long,07/28/2023,30.00,40.00,35.00
Brinjal Round,07/28/2023,70.00,80.00,76.67
Brocauli,07/28/2023,70.00,80.00,76.00
Cabbage(Local),07/28/2023,10.00,15.00,12.40
Capsicum,07/28/2023,70.00,80.00,76.00
Carrot(Local),07/28/2023,120.00,130.00,125.00
Cauli Local,07/28/2023,60.00,70.00,66.00
Cauli Local(Jyapu),07/28/2023,80.00,90.00,85.00
Celery,07/28/2023,120.00,150.00,140.00
Chilli Dry,07/28/2023,450.00,480.00,465.00
Chilli Green,07/28/2023,120.00,130.00,125.00
Chilli Green(Akbare),07/28/2023,350.00,400.00,375.00
Chilli Green(Bullet),07/28/2023,140.00,150.00,146.00
Chilli Green(Machhe),07/28/2023,60.00,70.00,66.67
Christophine,07/28/2023,60.00,70.00,66.67
Clive Dry,07/28/2023,200.00,220.00,210.00
Coriander Green,07/28/2023,50.00,100.00,76.00
Cow pea(Long),07/28/2023,40.00,50.00,45.00
Cowpea(Short),07/28/2023,40.00,50.00,46.67
Cucumber(Hybrid),07/28/2023,10.00,20.00,15.00
Cucumber(Local),07/28/2023,40.00,50.00,45.00
Drumstick,07/28/2023,200.00,250.00,225.00
Fish Fresh(Bachuwa),07/28/2023,240.00,250.00,246.67
Fish Fresh(Chhadi),07/28/2023,240.00,250.00,246.67
Fish Fresh(Mungari),07/28/2023,300.00,310.00,306.67
Fish Fresh(Rahu),07/28/2023,310.00,320.00,316.67
French Bean(Hybrid),07/28/2023,35.00,40.00,37.50
French Bean(Local),07/28/2023,25.00,35.00,29.00
French Bean(Rajma),07/28/2023,90.00,100.00,95.00
Garlic Dry Chinese,07/28/2023,260.00,280.00,270.00
Garlic Dry Nepali,07/28/2023,200.00,220.00,210.00
Garlic Green,07/28/2023,80.00,90.00,86.67
Ginger,07/28/2023,250.00,270.00,258.00
Grapes(Black),07/28/2023,500.00,550.00,525.00
Jack Fruit,07/28/2023,35.00,45.00,40.00
Kiwi,07/28/2023,800.00,900.00,850.00
Lettuce,07/28/2023,150.00,180.00,165.00
Lime,07/28/2023,140.00,160.00,150.00
Mandarin,07/28/2023,250.00,280.00,265.00
Mango(Chousa),07/28/2023,150.00,180.00,170.00
Mango(Dushari),07/28/2023,150.00,180.00,165.00
Mango(Maldah),07/28/2023,150.00,170.00,160.00
Mint,07/28/2023,200.00,250.00,225.00
Mushroom(Button),07/28/2023,300.00,350.00,324.00
Mushroom(Kanya),07/28/2023,200.00,220.00,210.00
Mustard Leaf,07/28/2023,50.00,60.00,56.67
Neuro,07/28/2023,70.00,80.00,76.67
Okara,07/28/2023,40.00,50.00,45.00
Onion Dry (Indian),07/28/2023,46.00,50.00,48.00
Onion Green,07/28/2023,80.00,90.00,86.67
Papaya(Indian),07/28/2023,90.00,100.00,96.67
Parseley,07/28/2023,300.00,400.00,350.00
Pear(Local),07/28/2023,60.00,70.00,66.67
Pineapple,07/28/2023,150.00,180.00,163.33
Pointed Gourd(Local),07/28/2023,35.00,40.00,37.50
Pomegranate,07/28/2023,300.00,350.00,325.00
Potato Red,07/28/2023,48.00,50.00,49.00
Potato Red(Indian),07/28/2023,36.00,38.00,37.00
Potato Red(Mude),07/28/2023,37.00,40.00,38.75
Pumpkin,07/28/2023,40.00,45.00,42.50
Raddish Red,07/28/2023,30.00,40.00,35.00
Raddish White(Hybrid),07/28/2023,30.00,40.00,35.00
Raddish White(Local),07/28/2023,20.00,25.00,22.50
Red Cabbbage,07/28/2023,60.00,70.00,66.67
Smooth Gourd,07/28/2023,25.00,35.00,30.00
Snake Gourd,07/28/2023,30.00,40.00,36.67
Soyabean Green,07/28/2023,80.00,90.00,85.00
Sponge Gourd,07/28/2023,50.00,60.00,56.67
Squash(Round),07/28/2023,60.00,70.00,66.67
Sugarbeet,07/28/2023,70.00,80.00,76.67
Sweet Orange,07/28/2023,220.00,250.00,235.00
Sword Bean,07/28/2023,80.00,90.00,85.00
Tamarind,07/28/2023,150.00,160.00,156.67
Tofu,07/28/2023,110.00,120.00,116.67
Tomato Big(Nepali),07/28/2023,100.00,110.00,106.67
Tomato Small(Local),07/28/2023,35.00,45.00,40.00
Tomato Small(Tunnel),07/28/2023,56.00,66.00,61.20
Turnip A,07/28/2023,70.00,80.00,76.67
Water Melon(Green),07/28/2023,80.00,90.00,86.67
Apple(Fuji),07/29/2023,350.00,400.00,375.00
Arum,07/29/2023,70.00,80.00,76.67
Asparagus,07/29/2023,400.00,450.00,416.67
Avocado,07/29/2023,500.00,600.00,550.00
Bamboo Shoot,07/29/2023,110.00,120.00,116.67
Banana,07/29/2023,140.00,150.00,146.67
Bitter Gourd,07/29/2023,50.00,60.00,55.00
Bottle Gourd,07/29/2023,40.00,50.00,45.00
Brd Leaf Mustard,07/29/2023,80.00,90.00,86.67
Brinjal Long,07/29/2023,30.00,40.00,35.00
Brinjal Round,07/29/2023,60.00,70.00,65.00
Brocauli,07/29/2023,90.00,100.00,95.00
Cabbage(Local),07/29/2023,10.00,15.00,12.50
Capsicum,07/29/2023,80.00,90.00,86.00
Carrot(Local),07/29/2023,110.00,120.00,116.00
Cauli Local,07/29/2023,70.00,80.00,75.00
Cauli Local(Jyapu),07/29/2023,80.00,90.00,85.00
Celery,07/29/2023,120.00,150.00,140.00
Chilli Dry,07/29/2023,450.00,480.00,465.00
Chilli Green,07/29/2023,90.00,100.00,95.00
Chilli Green(Akbare),07/29/2023,300.00,400.00,350.00
Chilli Green(Bullet),07/29/2023,110.00,120.00,116.00
Chilli Green(Machhe),07/29/2023,50.00,60.00,56.67
Christophine,07/29/2023,70.00,80.00,75.00
Clive Dry,07/29/2023,200.00,220.00,210.00
Coriander Green,07/29/2023,100.00,150.00,118.00
Cow pea(Long),07/29/2023,50.00,60.00,55.00
Cowpea(Short),07/29/2023,60.00,70.00,66.67
Cucumber(Hybrid),07/29/2023,10.00,15.00,12.50
Cucumber(Local),07/29/2023,40.00,50.00,44.00
Drumstick,07/29/2023,200.00,250.00,225.00
Fish Fresh(Bachuwa),07/29/2023,240.00,250.00,246.67
Fish Fresh(Chhadi),07/29/2023,240.00,250.00,246.67
Fish Fresh(Mungari),07/29/2023,300.00,310.00,306.67
Fish Fresh(Rahu),07/29/2023,310.00,320.00,316.67
French Bean(Hybrid),07/29/2023,30.00,40.00,35.00
French Bean(Local),07/29/2023,30.00,40.00,35.00
French Bean(Rajma),07/29/2023,80.00,90.00,86.67
Garlic Dry Chinese,07/29/2023,260.00,280.00,272.00
Garlic Dry Nepali,07/29/2023,210.00,220.00,215.00
Garlic Green,07/29/2023,80.00,90.00,86.67
Ginger,07/29/2023,250.00,260.00,256.00
Grapes(Black),07/29/2023,520.00,550.00,535.00
Jack Fruit,07/29/2023,40.00,45.00,43.33
Kiwi,07/29/2023,800.00,900.00,866.67
Lettuce,07/29/2023,150.00,180.00,170.00
Lime,07/29/2023,130.00,150.00,138.00
Mandarin,07/29/2023,250.00,260.00,255.00
Mango(Chousa),07/29/2023,160.00,180.00,170.00
Mango(Dushari),07/29/2023,160.00,180.00,170.00
Mango(Maldah),07/29/2023,160.00,180.00,170.00
Mint,07/29/2023,200.00,250.00,225.00
Mushroom(Button),07/29/2023,350.00,400.00,383.33
Mushroom(Kanya),07/29/2023,150.00,180.00,164.00
Mustard Leaf,07/29/2023,50.00,60.00,56.67
Neuro,07/29/2023,70.00,80.00,76.67
Okara,07/29/2023,45.00,55.00,50.00
Onion Dry (Indian),07/29/2023,46.00,48.00,47.00
Onion Green,07/29/2023,80.00,90.00,86.67
Papaya(Indian),07/29/2023,90.00,100.00,96.67
Parseley,07/29/2023,300.00,400.00,350.00
Pear(Local),07/29/2023,80.00,90.00,86.67
Pineapple,07/29/2023,150.00,180.00,165.00
Pointed Gourd(Local),07/29/2023,40.00,45.00,42.50
Pomegranate,07/29/2023,300.00,350.00,325.00
Potato Red,07/29/2023,48.00,50.00,49.00
Potato Red(Indian),07/29/2023,36.00,37.00,36.67
Potato Red(Mude),07/29/2023,37.00,40.00,38.60
Potato White,07/29/2023,34.00,35.00,34.50
Pumpkin,07/29/2023,40.00,45.00,42.50
Raddish Red,07/29/2023,30.00,40.00,35.00
Raddish White(Hybrid),07/29/2023,30.00,40.00,35.00
Raddish White(Local),07/29/2023,15.00,20.00,17.50
Red Cabbbage,07/29/2023,60.00,70.00,66.67
Smooth Gourd,07/29/2023,25.00,35.00,30.00
Snake Gourd,07/29/2023,30.00,40.00,35.00
Soyabean Green,07/29/2023,80.00,90.00,85.00
Sponge Gourd,07/29/2023,50.00,60.00,55.00
Squash(Round),07/29/2023,60.00,70.00,65.00
Sugarbeet,07/29/2023,70.00,80.00,76.67
Sweet Orange,07/29/2023,220.00,250.00,235.00
Sword Bean,07/29/2023,70.00,80.00,76.67
Tamarind,07/29/2023,150.00,160.00,156.67
Tofu,07/29/2023,110.00,120.00,116.67
Tomato Big(Nepali),07/29/2023,100.00,110.00,106.00
Tomato Small(Local),07/29/2023,35.00,45.00,40.00
Tomato Small(Tunnel),07/29/2023,58.00,72.00,65.00
Turnip A,07/29/2023,70.00,80.00,76.67
Water Melon(Green),07/29/2023,80.00,90.00,86.67
Apple(Fuji),07/30/2023,350.00,400.00,375.00
Arum,07/30/2023,70.00,80.00,75.00
Asparagus,07/30/2023,400.00,450.00,425.00
Avocado,07/30/2023,500.00,600.00,550.00
Bamboo Shoot,07/30/2023,110.00,120.00,115.00
Banana,07/30/2023,140.00,150.00,145.00
Bitter Gourd,07/30/2023,50.00,60.00,55.00
Bottle Gourd,07/30/2023,40.00,50.00,45.00
Brd Leaf Mustard,07/30/2023,60.00,80.00,70.00
Brinjal Long,07/30/2023,25.00,35.00,30.00
Brinjal Round,07/30/2023,50.00,60.00,55.00
Brocauli,07/30/2023,90.00,100.00,95.00
Cabbage(Local),07/30/2023,10.00,15.00,12.33
Capsicum,07/30/2023,80.00,90.00,85.00
Carrot(Local),07/30/2023,110.00,120.00,115.00
Cauli Local,07/30/2023,70.00,80.00,75.00
Cauli Local(Jyapu),07/30/2023,80.00,90.00,85.00
Celery,07/30/2023,120.00,150.00,135.00
Chilli Dry,07/30/2023,450.00,480.00,465.00
Chilli Green,07/30/2023,60.00,70.00,65.00
Chilli Green(Akbare),07/30/2023,350.00,400.00,376.67
Chilli Green(Bullet),07/30/2023,60.00,70.00,65.00
Chilli Green(Machhe),07/30/2023,90.00,100.00,95.00
Christophine,07/30/2023,60.00,70.00,65.00
Clive Dry,07/30/2023,200.00,220.00,210.00
Coriander Green,07/30/2023,100.00,150.00,126.67
Cow pea(Long),07/30/2023,40.00,50.00,45.00
Cowpea(Short),07/30/2023,50.00,60.00,55.00
Cucumber(Hybrid),07/30/2023,10.00,15.00,12.33
Cucumber(Local),07/30/2023,40.00,50.00,45.00
Drumstick,07/30/2023,200.00,250.00,225.00
Fish Fresh(Bachuwa),07/30/2023,240.00,260.00,250.00
Fish Fresh(Chhadi),07/30/2023,240.00,260.00,250.00
Fish Fresh(Mungari),07/30/2023,300.00,320.00,310.00
Fish Fresh(Rahu),07/30/2023,310.00,330.00,320.00
French Bean(Hybrid),07/30/2023,30.00,40.00,35.00
French Bean(Local),07/30/2023,30.00,40.00,35.00
French Bean(Rajma),07/30/2023,80.00,90.00,85.00
Garlic Dry Chinese,07/30/2023,260.00,280.00,270.00
Garlic Dry Nepali,07/30/2023,210.00,220.00,215.00
Garlic Green,07/30/2023,80.00,90.00,85.00
Ginger,07/30/2023,250.00,260.00,255.00
Grapes(Black),07/30/2023,530.00,550.00,540.00
Grapes(Green),07/30/2023,530.00,550.00,540.00
Gundruk,07/30/2023,250.00,300.00,275.00
Jack Fruit,07/30/2023,40.00,45.00,42.33
Kiwi,07/30/2023,800.00,900.00,850.00
Lettuce,07/30/2023,150.00,180.00,165.00
Lime,07/30/2023,130.00,180.00,153.33
Mandarin,07/30/2023,250.00,260.00,255.00
Mango(Chousa),07/30/2023,160.00,180.00,170.00
Mango(Dushari),07/30/2023,160.00,180.00,170.00
Mango(Maldah),07/30/2023,160.00,180.00,170.00
Mint,07/30/2023,200.00,250.00,225.00
Mushroom(Button),07/30/2023,350.00,400.00,376.67
Mushroom(Kanya),07/30/2023,150.00,180.00,166.67
Mustard Leaf,07/30/2023,50.00,60.00,55.00
Neuro,07/30/2023,70.00,80.00,75.00
Okara,07/30/2023,40.00,50.00,45.00
Onion Dry (Indian),07/30/2023,46.00,48.00,47.00
Onion Green,07/30/2023,80.00,90.00,85.00
Papaya(Indian),07/30/2023,90.00,100.00,95.00
Parseley,07/30/2023,300.00,400.00,350.00
Pear(Local),07/30/2023,70.00,80.00,75.00
Pineapple,07/30/2023,150.00,180.00,165.00
Pointed Gourd(Local),07/30/2023,30.00,40.00,35.00
Pointed Gourd(Terai),07/30/2023,30.00,40.00,35.00
